epoch,accuracy,loss,val_accuracy,val_loss
0,0.6155481338500977,1.042969822883606,0.7484811544418335,0.6746097803115845
1,0.8168842792510986,0.4973280131816864,0.893074095249176,0.3153291344642639
2,0.9131491184234619,0.2607654929161072,0.9319562315940857,0.20447693765163422
3,0.9386577606201172,0.18836826086044312,0.9489672183990479,0.14294883608818054
4,0.9489827156066895,0.16086383163928986,0.9526124000549316,0.14303746819496155
5,0.9587002992630005,0.11331766098737717,0.9550425410270691,0.126271590590477
6,0.9623443484306335,0.10969974100589752,0.9477521181106567,0.14219757914543152
7,0.9626480340957642,0.10899776220321655,0.9586877226829529,0.1300642341375351
8,0.9623443484306335,0.1044682189822197,0.959902822971344,0.1335059404373169
9,0.9656847715377808,0.09686814993619919,0.9611178636550903,0.12653201818466187
10,0.969025194644928,0.09172995388507843,0.9635480046272278,0.12304918467998505
11,0.9735803008079529,0.07036334276199341,0.9574726819992065,0.1515912562608719
12,0.9750986695289612,0.0785059705376625,0.9562575817108154,0.12152960151433945
13,0.9741876721382141,0.06663984805345535,0.9611178636550903,0.12134689092636108
14,0.9757060408592224,0.061077967286109924,0.9708383679389954,0.13527272641658783
15,0.9741876721382141,0.07414679229259491,0.953827440738678,0.15297740697860718
16,0.9747950434684753,0.06182397902011871,0.9635480046272278,0.11589418351650238
17,0.9781354665756226,0.06452871114015579,0.9526124000549316,0.13758225739002228
18,0.9769207239151001,0.06423627585172653,0.9623329043388367,0.13335295021533966
19,0.9769207239151001,0.061861004680395126,0.9611178636550903,0.12087197601795197
20,0.9772244095802307,0.053731802850961685,0.9550425410270691,0.13905976712703705
21,0.9781354665756226,0.05180199816823006,0.9586877226829529,0.1488417536020279
